ID;Year_Birth;Income;Wines;MeatProducts;FishProducts;SweetProducts;GoldProds
9970;1977;55375;42;57;10;28;14
2730;1955;80317;536;387;149;91;57
9260;1945;70356;1349;249;43;16;33
8182;1984;23228;53;49;7;4;5
10095;1975;74165;1001;240;16;12;12
8475;1973;157243;20;1582;1;2;1
4370;1966;43482;18;32;6;3;28
10573;1953;62551;125;98;134;21;27
6637;1988;66951;277;305;173;76;124
3152;1957;26091;15;19;8;17;20
5610;1965;33456;7;10;8;1;7
6460;1982;28718;12;6;11;8;16
1349;1970;50447;85;24;2;3;27
8717;1975;80427;1149;449;69;71;26
10314;1948;83837;847;119;86;89;111
7698;1976;51650;152;22;2;5;7
3559;1988;16248;12;10;3;12;9
10562;1946;66835;620;195;34;17;141
2563;1961;28249;1;7;2;14;10
3518;1983;25271;10;18;10;4;7
3934;1966;61286;356;107;19;9;117
6982;1976;74068;783;537;140;76;15
5602;1989;66973;466;432;147;113;102
7829;1900;36640;15;8;7;4;25
1324;1988;38872;23;21;3;19;22
326;1973;51148;235;45;8;9;12
7224;1977;31353;10;10;3;1;7
6999;1980;69661;656;106;32;16;8
9938;1954;80067;519;813;27;173;51
6422;1954;86718;344;482;50;33;172
3182;1973;46854;96;79;7;1;79
7300;1952;69142;448;34;6;4;39
10424;1968;75922;265;553;224;23;92
8727;1978;63693;587;337;42;87;54
2798;1977;102160;763;138;76;176;58
624;1984;18890;6;1;7;2;15
5176;1988;29604;7;13;7;6;14
5552;1963;48721;81;113;47;13;21
380;1954;64497;1170;320;42;32;192
2677;1956;46097;72;68;65;4;8
6521;1954;77972;613;319;33;102;12
2877;1974;46014;410;59;19;9;44
0;1985;70951;239;554;254;87;54
1584;1977;41443;171;171;25;19;89
6274;1948;83790;1076;417;42;48;16
454;1980;69508;824;162;42;32;43
1755;1988;45204;30;25;29;1;18
2075;1969;72460;377;540;80;30;10
7079;1962;63887;897;207;15;11;92
4653;1978;42011;131;16;2;1;39
460;1972;79930;792;740;67;51;17
6798;1966;37070;231;137;4;15;39
5341;1962;81975;983;184;180;138;27
1606;1971;38590;3;8;4;3;3
3233;1965;62745;562;464;28;10;32
89;1975;22212;5;20;6;8;21
9449;1958;79761;415;124;15;35;11
7297;1973;7500;5;10;12;7;20
313;1968;73455;901;757;186;163;20
9940;1958;64961;382;276;75;124;38
10735;1971;22804;14;7;2;1;1
9529;1990;73687;559;503;218;13;181
9265;1953;75027;925;179;133;12;77
8867;1988;67546;864;768;150;38;172
8932;1969;65176;960;183;220;70;70
10236;1975;31160;16;25;6;1;13
10089;1974;102692;168;444;32;172;148
2227;1958;26490;45;52;21;20;25
10992;1967;75702;650;353;45;42;30
309;1961;63342;918;118;13;10;21
3406;1964;45989;138;87;28;24;12
2661;1964;18701;12;2;10;6;10
10264;1979;15287;1;8;4;3;13
4200;1970;44159;167;62;24;13;7
9396;1978;37717;9;6;4;1;5
2387;1952;43776;177;71;3;2;20
6690;1966;38179;38;22;4;2;20
1225;1963;80124;483;398;205;84;241
291;1970;72940;182;298;162;149;116
4557;1970;22070;10;19;8;2;21
2379;1953;69267;778;499;95;73;146
3066;1975;61905;167;43;6;2;13
6336;1960;29315;13;14;8;7;4
10967;1963;33378;33;40;3;7;10
2304;1963;66313;625;99;10;22;7
3445;1956;60714;216;224;101;92;162
7828;1981;77882;68;396;188;22;15
3762;1986;69867;196;512;33;130;54
4391;1968;63841;635;100;20;7;131
4669;1981;24480;4;9;28;25;17
8652;1946;37760;84;38;150;12;28
1672;1974;65640;204;149;20;15;66
9974;1974;30631;15;20;4;5;20
10983;1952;75278;304;230;150;74;74
8148;1956;50898;285;242;55;114;135
10102;1966;79946;395;565;166;141;28
4697;1949;35416;248;81;4;3;51
7254;1969;38361;39;56;20;8;14
4543;1980;82497;777;573;216;21;203
4927;1971;16626;8;22;21;1;13
2874;1988;35388;6;7;4;3;8
7119;1982;68627;395;263;60;54;38
5827;1958;35246;36;12;2;2;10
1717;1988;39747;80;93;20;13;52
9491;1984;23976;14;21;2;3;25
9274;1961;80950;525;112;219;147;63
6609;1966;27038;1;25;17;23;15
6963;1947;77457;675;400;15;45;11
1379;1992;42670;154;46;20;4;15
10032;1976;12571;3;14;2;12;17
6320;1976;70893;768;561;77;44;14
3050;1966;54198;185;28;3;2;17
9478;1985;66503;91;128;65;3;50
113;1951;30833;11;7;3;1;6
1802;1971;64795;412;119;38;29;77
520;1974;34421;3;7;6;2;9
9750;1961;64325;731;353;78;12;73
2607;1953;40464;424;118;7;23;41
7214;1957;62187;792;275;45;45;126
5835;1976;14849;21;28;3;2;9
7786;1986;29999;68;59;10;5;11
2521;1971;35178;23;13;2;2;18
10151;1960;62204;317;247;151;46;139
7381;1968;75693;797;293;72;97;30
4099;1972;30675;10;16;11;2;21
9560;1965;83003;856;570;40;25;122
1150;1899;83532;755;562;104;64;224
10172;1988;68655;456;832;75;118;38
11191;1986;41411;37;38;11;3;18
6245;1950;59292;378;68;19;14;14
1411;1952;82623;204;204;172;153;173
1826;1970;84835;189;379;111;189;218
8842;1971;30372;15;12;7;3;7
2579;1957;71113;495;255;11;33;8
175;1986;71952;656;455;52;107;93
6184;1969;68462;561;785;84;128;48
4107;1948;46681;269;69;15;19;38
7274;1957;78618;736;818;212;163;61
2958;1978;28442;19;10;11;8;6
933;1978;37717;9;6;4;1;5
5837;1967;51479;247;160;6;8;65
10704;1969;54803;404;92;28;27;142
5125;1960;79530;333;815;129;42;29
4432;1976;31615;2;20;6;11;9
5955;1962;72025;833;549;151;133;233
2928;1975;52614;789;142;12;9;38
10313;1975;48178;159;45;6;2;38
2557;1970;29548;7;6;3;1;11
1245;1966;63810;977;253;16;12;101
1519;1972;38578;38;22;3;3;3
1726;1970;22585;3;15;13;2;39
4459;1989;30279;10;14;4;4;1
1729;1961;66426;1043;97;32;24;157
1517;1969;30822;3;13;2;12;12
6878;1954;27421;43;96;78;40;55
3310;1973;35688;73;90;12;1;32
948;1971;10245;4;7;6;4;13
6720;1968;43795;314;53;4;3;107
6202;1960;63381;571;142;33;50;159
2066;1949;38823;70;11;2;8;23
9799;1968;83664;866;151;28;21;86
8318;1979;90300;594;786;33;134;57
2669;1993;74293;375;335;93;91;81
455;1946;51012;102;63;2;9;24
3428;1991;68682;919;505;99;30;45
7414;1971;43824;96;42;12;3;32
6354;1984;15345;5;16;3;2;19
798;1987;23442;2;6;8;6;5
8213;1980;14515;6;9;6;36;35
9999;1965;75276;610;125;137;42;21
7617;1974;42373;67;61;3;8;19
615;1960;30507;65;74;38;20;110
194;1965;48006;23;11;3;2;2
3645;1972;27213;19;26;10;9;3
8890;1971;65808;155;80;13;7;10
5049;1974;30351;14;24;3;3;2
9973;1963;50437;370;92;6;9;4
7301;1982;23616;4;11;3;7;32
10882;1976;53858;407;221;58;150;26
7030;1955;66465;1200;204;38;29;14
7422;1987;46923;85;54;102;78;6
6504;1975;19789;2;9;28;6;28
5067;1994;80134;966;282;52;26;26
4216;1981;91065;822;108;179;137;114
5929;1973;37401;19;19;3;1;3
3129;1983;30096;5;11;12;5;9
6528;1982;18492;2;2;2;1;1
1361;1974;82584;1076;103;29;91;68
1340;1986;92910;551;792;179;103;33
5987;1989;10404;2;11;10;6;12
3767;1968;61314;378;189;97;172;172
3725;1961;84865;1248;349;43;16;16
4324;1989;42387;235;235;19;4;191
238;1967;67309;515;181;149;95;95
6694;1964;75236;438;400;12;38;114
498;1970;30015;25;22;2;3;5
9699;1966;67272;357;271;28;28;14
5455;1971;32011;99;15;2;1;5
456;1986;7500;1;5;4;6;9
5029;1946;18100;3;2;4;3;1
10642;1989;30279;10;14;4;4;1
5954;1972;42618;76;74;13;5;10
1137;1964;81246;398;537;61;156;37
1142;1953;55707;208;82;30;66;35
2276;1955;57959;430;322;43;24;33
2807;1969;56796;656;161;62;47;37
6471;1971;36230;14;30;8;2;3
6131;1980;70829;141;106;72;19;23
6233;1976;65991;507;364;25;47;9
4148;1972;38988;164;103;12;3;42
4947;1966;89572;606;974;197;194;64
3225;1984;42207;116;72;3;17;46
7540;1952;50300;143;60;24;23;5
10648;1982;66664;398;447;220;96;32
1992;1964;60597;522;257;32;16;66
7851;1949;70165;161;253;199;191;122
8594;1958;50520;112;6;2;1;14
7059;1963;80124;483;398;205;84;241
2815;1975;33183;7;39;17;15;37
7999;1955;75261;1239;413;23;34;17
9697;1951;53790;335;127;28;5;5
3916;1971;49269;639;166;11;8;58
2021;1975;61456;563;384;84;192;89
1581;1980;37406;2;8;2;2;3
564;1981;56937;746;125;11;8;8
9081;1988;20518;4;6;4;1;9
178;1956;62503;478;193;110;75;117
8346;1974;32233;138;35;25;11;72
9286;1960;83151;407;100;120;74;18
2426;1964;78825;483;114;169;37;18
5172;1976;65104;738;232;13;20;50
5562;1974;60093;502;109;16;6;90
3436;1969;14045;11;5;2;1;1
3921;1952;28457;24;108;29;29;14
3403;1958;78952;1170;594;99;76;134
22;1976;46310;185;88;15;5;14
10965;1955;76005;983;389;240;50;40
3136;1962;59432;317;265;25;19;12
11088;1971;78642;1396;322;46;35;17
466;1944;65275;388;218;91;14;21
8151;1990;24279;16;21;20;62;108
5140;1985;64355;1047;140;67;38;153
4945;1953;53653;815;239;28;10;108
10584;1976;65665;225;387;106;36;29
6071;1989;81217;493;324;146;40;84
3386;1992;34935;34;66;3;10;20
8939;1959;61250;382;65;60;26;59
4320;1979;60152;325;300;86;58;91
5389;1964;48920;238;68;8;10;6
6036;1959;89120;1168;408;72;129;55
203;1975;81169;1288;613;80;61;27
11025;1961;36443;65;46;4;3;20
10203;1990;26095;11;9;3;1;11
4607;1959;71367;227;389;42;21;75
2532;1987;73454;982;351;56;14;175
9214;1991;42691;179;64;38;17;58
35;1987;25545;32;64;16;12;85
2258;1986;32880;8;15;7;6;2
4322;1958;77863;881;319;16;25;12
713;1977;50353;141;153;67;31;35
4702;1964;61839;1000;379;224;17;120
3281;1960;49154;206;67;30;27;71
702;1975;47682;162;83;97;57;61
2004;1969;72679;619;260;127;54;54
4437;1962;65316;112;92;3;9;38
8724;1982;28567;11;22;2;2;6
6931;1967;76982;464;292;65;60;30
11096;1952;57247;99;32;37;54;6
304;1981;22944;19;19;4;5;26
3665;1977;25315;1;8;11;3;22
10591;1969;43638;63;83;7;19;19
5036;1984;42710;252;42;4;3;102
7822;1976;54058;198;252;32;108;54
8541;1990;24683;8;10;6;7;6
10955;1964;85620;416;925;60;107;46
4368;1980;47850;42;43;20;12;10
9671;1968;19514;14;21;2;1;28
4279;1963;39548;15;10;3;4;18
9240;1971;60504;458;24;6;4;34
9460;1963;22419;30;47;19;21;42
9504;1949;81698;179;520;111;123;47
8692;1952;43462;90;97;15;6;15
448;1978;54880;308;137;102;45;118
8314;1982;79908;557;761;29;185;111
8420;1970;15315;7;13;15;8;17
3174;1959;87771;1492;287;50;57;33
7685;1978;33039;30;12;8;8;12
3179;1980;81741;249;940;58;134;38
10681;1970;62466;129;259;168;121;83
10232;1963;48799;174;81;28;6;24
4184;1950;52157;189;29;3;2;40
9120;1962;66565;747;161;65;40;42
6818;1974;44989;98;106;49;10;106
8181;1978;38593;51;49;17;24;24
1160;1970;13260;9;17;10;2;7
5253;1956;54603;145;46;17;2;4
5314;1951;40689;270;27;39;6;99
5081;1967;47821;9;16;6;6;10
5123;1951;27450;37;23;8;11;52
8036;1971;26850;31;13;7;2;9
5057;1961;61794;264;188;54;47;11
254;1955;53863;399;30;6;4;30
4179;1959;24221;8;9;2;5;22
3710;1984;39684;19;35;6;4;17
7627;1975;92163;817;797;106;163;20
4501;1965;69882;292;635;132;127;165
6424;1977;33178;12;2;11;2;16
4992;1975;17459;6;16;3;10;30
5252;1969;23910;16;18;7;1;13
6919;1978;26224;4;15;13;9;15
3537;1981;31089;31;31;2;8;4
2453;1960;62807;526;135;10;21;99
7972;1955;72906;400;519;71;75;54
1177;1966;49618;80;26;4;2;14
7141;1986;21888;88;46;2;3;64
8477;1956;26150;5;13;3;5;1
2457;1975;30801;8;5;15;2;11
988;1965;81168;410;592;147;22;22
7930;1969;26877;101;76;20;18;40
6682;1973;18978;2;1;4;7;15
10299;1969;48240;389;248;64;49;41
3083;1974;45837;215;87;17;17;24
1503;1976;162397;85;16;2;1;2
8650;1978;54162;5;10;6;5;10
10862;1960;30522;179;83;19;11;26
6941;1971;31632;17;12;11;15;32
10972;1949;72298;625;169;58;17;35
6583;1955;72635;390;323;104;35;107
3641;1976;13624;10;15;2;1;6
10156;1975;84196;215;507;231;31;190
4299;1960;70971;1001;572;93;125;17
3469;1977;34487;19;33;24;1;8
5063;1977;28769;41;129;10;3;3
10727;1970;69084;1181;199;39;30;30
9624;1958;65488;603;207;36;18;54
5156;1970;62466;129;259;168;121;83
4376;1960;32218;10;15;13;1;30
8923;1973;83917;514;732;42;198;79
6945;1952;84574;387;713;38;54;163
944;1962;56181;121;69;8;44;48
1907;1950;63120;965;279;54;41;69
701;1971;73691;707;250;85;43;73
3856;1960;63381;571;142;33;50;159
2131;1959;62859;1063;102;16;12;25
2942;1964;45906;305;27;4;3;144
4381;1971;46463;163;40;8;11;11
4611;1970;105471;1009;104;202;21;207
3376;1970;55282;125;73;8;4;19
4679;1977;78710;721;152;119;50;50
10928;1958;66886;315;62;41;31;146
4248;1960;98777;1000;711;125;115;38
6728;1985;29103;16;17;6;3;6
6661;1974;67445;757;217;29;80;11
5555;1975;153924;1;1;1;1;1
2564;1953;61278;111;28;2;6;15
946;1958;26490;45;52;21;20;25
6940;1966;46734;100;39;6;1;76
55;1963;56253;509;65;7;11;5
5084;1975;58330;445;213;104;98;151
1777;1980;25965;2;11;41;7;11
8162;1956;14661;4;11;6;2;2
10826;1959;18690;6;7;23;4;19
1987;1987;21063;1;11;19;3;15
7426;1971;54690;111;37;7;9;18
9153;1964;59304;418;428;80;51;10
10379;1962;59247;327;122;19;14;83
9204;1970;66731;371;194;58;106;141
3197;1980;77353;275;107;69;101;59
2920;1975;52614;789;142;12;9;38
4673;1963;81300;1004;145;32;12;36
9937;1979;70337;187;149;25;43;91
8779;1985;36145;56;76;17;1;18
9596;1980;65295;365;117;34;110;6
2891;1963;68118;595;123;10;23;154
4910;1967;68743;1132;384;175;134;115
75;1982;41039;34;137;179;61;45
10120;1955;38946;116;82;6;6;41
6327;1967;65777;565;435;28;32;54
10142;1976;66476;372;126;47;48;78
9826;1972;86857;899;838;133;102;40
1501;1982;160803;55;1622;17;3;4
7279;1969;69476;260;559;63;9;67
143;1970;61209;466;224;119;49;99
450;1958;42315;67;80;17;11;80
9316;1952;13084;2;7;3;7;10
9239;1961;61923;92;18;3;3;6
2868;1949;26518;20;28;3;3;2
10888;1961;45938;273;178;62;83;29
1277;1960;78468;434;388;104;22;34
9977;1973;78901;321;309;33;26;34
10196;1978;71427;212;177;15;64;23
8029;1988;90247;1184;352;21;16;16
968;1968;41335;112;21;16;14;5
6988;1986;71952;656;455;52;107;93
4472;1970;35682;23;8;6;2;18
6991;1951;43185;537;42;16;6;30
4301;1971;35178;23;13;2;2;18
1940;1986;25252;1;4;2;2;6
1388;1975;33249;6;21;19;14;42
1044;1953;58398;299;201;21;21;49
6969;1982;50272;99;66;43;8;4
10479;1975;76618;749;294;121;160;147
3619;1960;87305;345;501;63;138;80
1715;1978;25851;9;18;7;5;5
4990;1954;59111;524;134;28;28;155
4329;1984;18988;6;6;2;1;1
10936;1965;72190;597;597;172;166;249
4692;1976;7500;7;12;13;7;32
6086;1955;80395;445;706;80;76;48
437;1976;75012;294;218;164;58;151
11171;1965;56962;292;77;10;3;26
11101;1991;89891;412;132;59;28;183
9384;1978;66373;328;124;12;24;109
5956;1948;45072;144;99;7;2;30
10430;1973;89694;1126;211;37;28;42
7072;1973;67432;432;341;177;136;170
6255;1952;70545;138;63;55;18;21
5564;1969;62882;509;497;78;24;97
5682;1953;64108;948;86;13;21;21
7458;1956;34941;39;25;4;3;24
7761;1978;38702;13;24;13;8;40
5278;1964;82224;307;360;138;31;40
3560;1952;83844;901;345;75;31;191
7235;1975;17003;2;12;4;8;7
10548;1995;71163;283;372;138;106;44
4073;1954;63564;769;252;15;34;65
6974;1972;83443;518;742;55;56;84
7938;1958;51518;350;66;17;4;4
7094;1975;58330;445;213;104;98;151
3667;1969;80952;778;689;41;27;44
7723;1979;75507;709;374;104;80;80
3870;1978;63855;359;314;93;116;89
4012;1972;62220;799;375;16;12;12
10270;1981;35523;11;22;12;5;11
6887;1967;79146;245;223;21;43;16
6406;1988;78285;647;391;175;67;40
7573;1978;31626;39;9;2;1;34
4508;1952;75127;203;305;46;17;227
1911;1987;67430;595;291;127;133;121
20;1965;46891;43;23;29;15;61
10582;1979;72063;180;348;76;32;90
8897;1965;42720;392;91;28;26;112
2371;1972;33622;39;22;3;4;12
4303;1957;6835;107;12;2;2;12
10736;1971;72258;522;522;227;120;134
49;1970;20587;2;6;4;1;9
4290;1972;30467;1;8;2;5;5
10219;1972;31590;6;15;6;6;3
4211;1986;20425;4;5;3;16;17
6299;1968;42564;324;186;39;18;198
10846;1978;43783;327;125;25;4;139
347;1976;40780;229;71;13;3;34
6543;1945;62847;521;706;80;76;61
10446;1957;82017;184;446;30;23;23
3479;1950;16813;4;11;12;2;13
11075;1978;51267;183;64;7;2;12
4442;1961;46524;31;35;26;14;52
199;1962;45183;219;60;12;9;12
6722;1954;70421;479;136;75;14;35
796;1965;60161;584;212;46;8;177
3749;1973;73926;627;597;159;91;15
8523;1968;19329;24;16;12;2;5
310;1970;61872;330;159;36;27;16
8629;1956;46984;19;10;2;1;8
236;1951;34838;28;29;29;14;47
9930;1944;82716;606;228;15;148;22
3483;1958;48192;1039;204;153;58;29
7352;1957;55267;161;136;32;3;45
2350;1972;59666;623;178;23;17;133
9145;1972;72504;604;470;123;161;94
2964;1981;26872;3;8;3;16;32
5585;1972;21359;12;17;6;1;10
9687;1975;73170;184;256;50;30;32
3732;1955;52750;393;239;90;69;69
6303;1986;91820;410;747;76;161;30
11176;1970;65968;376;83;19;4;4
2986;1976;30772;7;4;2;1;4
7462;1954;22507;68;226;51;157;68
7034;1978;25804;8;9;13;6;12
9493;1980;76412;840;804;23;71;17
1143;1972;22063;7;13;3;11;11
3855;1963;22419;30;47;19;21;42
5536;1959;87771;1492;287;50;57;33
5989;1959;78353;752;476;39;153;34
6768;1962;37859;22;8;2;1;2
2150;1958;80995;860;409;73;56;56
4887;1976;55412;10;28;11;1;8
8560;1992;48789;351;156;7;5;145
10402;1967;35441;25;9;2;1;1
9904;1956;71391;336;274;46;123;141
5687;1980;81702;563;774;28;31;187
5121;1977;56628;479;82;7;17;171
4186;1950;34026;18;15;12;8;17
368;1974;40049;91;52;10;44;28
3312;1988;34176;5;24;19;14;20
11121;1981;19419;2;28;16;3;7
5332;1960;82504;362;431;134;35;54
5848;1970;81205;724;929;97;55;130
2895;1963;49980;104;54;13;9;14
9477;1954;65324;384;102;21;32;5
4856;1957;82347;556;845;202;133;63
1456;1979;60474;265;303;234;9;170
425;1985;55357;374;116;84;25;64
1031;1989;85710;600;350;29;30;33
4271;1989;38683;46;69;84;41;66
4120;1975;49514;88;78;58;13;93
2036;1973;57906;243;119;10;3;15
115;1966;43456;275;68;25;7;7
8687;1978;53172;121;90;68;20;125
2447;1979;30545;4;15;19;7;12
9353;1959;62450;515;267;62;66;38
3623;1976;21675;4;16;17;4;4
738;1981;42395;48;57;24;15;25
7631;1978;61346;562;168;43;16;142
4789;1953;80812;769;500;210;143;33
773;1971;42835;379;93;12;9;98
10602;1983;39922;29;59;19;1;36
1446;1956;86424;387;569;89;45;68
3270;1978;17117;12;38;30;18;7
8443;1972;24762;6;12;3;15;40
9653;1975;35797;27;14;4;1;21
8017;1981;51111;22;19;6;5;3
5830;1972;86857;899;838;133;102;40
4597;1970;82072;889;685;168;92;129
8825;1962;51195;230;156;82;24;58
2930;1978;68092;852;207;78;36;48
1928;1973;31814;35;20;4;1;20
7108;1965;51390;205;47;23;2;56
10925;1983;76630;255;446;40;56;175
8800;1943;48948;437;206;160;49;42
5519;1956;64090;316;161;76;51;135
5046;1958;78331;756;354;160;169;61
905;1986;21846;7;18;6;10;26
8624;1958;81320;183;493;59;103;57
6445;1967;66825;243;405;29;40;40
2727;1973;57100;181;69;39;3;96
11074;1977;85072;494;391;194;11;241
10150;1961;86429;464;873;29;18;37
9485;1986;45921;102;49;24;3;12
7053;1966;78420;604;674;91;28;28
4654;1992;75114;571;523;63;60;24
1048;1972;35641;63;67;8;9;28
10619;1994;95529;770;890;250;27;24
9308;1954;62820;398;265;138;61;53
10505;1960;73113;741;154;50;9;28
2625;1954;42607;156;56;30;32;47
4483;1993;72354;315;473;220;12;182
4487;1969;39858;15;25;2;7;26
8931;1986;83033;812;431;237;149;33
5871;1979;24401;73;217;10;24;115
2008;1978;77583;372;384;250;12;108
3139;1982;74116;871;704;145;55;166
10037;1993;74293;375;335;93;91;81
10673;1976;68397;760;466;17;13;80
5303;1974;79632;471;510;99;21;12
538;1989;46107;31;27;16;9;33
5692;1989;25443;1;3;8;9;7
4843;1952;75127;203;305;46;17;227
6383;1971;32892;26;15;2;1;2
1628;1971;71796;354;311;167;75;32
1204;1970;67536;1253;447;23;71;35
3673;1971;55239;371;238;23;24;106
760;1975;60554;588;76;110;15;15
8957;1952;64831;480;249;75;86;144
4128;1962;56067;517;54;16;6;120
6810;1983;82025;267;606;48;70;98
5386;1953;94384;1111;790;160;45;172
8700;1986;14906;7;14;7;16;15
1328;1982;57937;261;144;55;48;133
8405;1979;68274;135;51;23;25;46
6515;1977;39771;6;18;2;8;14
2882;1975;67893;711;142;49;18;47
7574;1979;27922;11;13;2;4;11
5320;1973;44051;79;58;6;3;18
5048;1971;42767;20;43;19;5;38
10031;1976;16927;20;23;3;1;4
5748;1965;59754;115;44;4;146;139
2134;1952;53700;263;233;69;41;83
1523;1973;59041;69;15;2;2;6
4640;1967;70647;561;171;25;123;114
3547;1969;41021;14;9;6;16;12
5633;1980;50183;97;84;13;10;15
7801;1959;54753;197;227;7;59;131
10489;1973;92955;693;925;31;24;84
3933;1980;44010;186;234;86;72;48
10981;1988;84219;434;400;45;137;45
1734;1968;40706;59;11;4;2;5
10995;1988;15716;16;30;8;7;26
6357;1959;59052;230;75;63;57;31
9209;1971;80573;829;430;60;92;15
10286;1962;83715;318;407;150;35;8
2611;1959;82576;1206;445;168;18;18
1600;1965;56962;292;77;10;3;26
3308;1952;35704;30;12;2;11;30
3056;1978;63693;587;337;42;87;54
5718;1950;80763;674;108;192;42;231
6872;1974;65352;284;84;4;7;23
8164;1978;82170;1023;651;49;55;37
4580;1969;75759;1394;708;89;91;182
9305;1976;79689;311;640;180;37;121
8545;1954;85683;1296;311;45;69;51
7378;1981;42021;393;136;7;5;27
7646;1989;64449;218;282;137;35;70
11188;1957;26091;15;19;8;17;20
1212;1973;52845;384;292;130;41;64
9097;1956;46086;244;32;7;2;50
7962;1987;95169;1285;449;106;20;20
9984;1981;56337;349;144;28;5;182
5527;1987;22434;4;11;3;13;15
7453;1954;36130;157;127;68;56;37
8952;1953;65569;397;288;20;38;70
241;1952;83844;901;345;75;31;191
8975;1968;19514;14;21;2;1;28
5236;1979;77568;1230;396;232;178;158
10634;1951;59412;90;165;30;43;11
7010;1965;70924;635;254;132;152;76
8562;1969;54165;127;73;15;6;11
3158;1973;32300;13;6;6;5;6
4436;1976;20180;18;24;15;20;18
5287;1973;34961;45;26;4;1;1
8911;1967;56320;201;172;116;77;83
3628;1987;15038;4;11;19;12;26
8985;1964;68316;806;161;120;11;33
5204;1971;74538;380;733;110;112;28
9220;1971;91700;576;961;125;115;19
9888;1969;68695;458;356;106;50;40
5263;1977;31056;5;13;3;8;16
1020;1973;79593;350;568;110;133;145
9503;1980;28071;39;130;41;26;44
